Id,ShortName,LongName
597,842,"O'Leary - Q.Elizabeth - Oxford"
598,842,"O'Leary - Q.Elizabeth - Oxford"
599,843,"Archbishop MacDonald - Downtown"
600,843,"Archbishop MacDonald - Downtown"
601,844,"Rosslyn - Beaumaris"
602,844,"Queen Elizabeth to Fraser"
603,845,"O'Leary - Q.Elizabeth - Clareview"
604,845,"O'Leary - Q.Elizabeth - Clareview"
605,846,"Arch Mac - Dunluce - Castle Downs"
606,846,"Arch Mac - Dunluce - Castle Downs"
607,848,"Cardinal Leger-Dickinsfield - Lago Lindo"
608,848,"Cardinal Leger-Dickinsfield - Lago Lindo"
609,849,"St Cecilia - O'Leary - Clareview"
610,849,"St Cecilia - O'Leary - Clareview"
611,851,"Card Leger - Dickinsfield - Klarvatten"
612,851,"Card Leger - Dickinsfield - Klarvatten"
613,852,"O'Leary - Dunluce - Castle Downs"
614,852,"O'Leary - Dunluce - Castle Downs"
615,853,"O'Leary - NGTE & Q E - Belvedere"
616,853,"O'Leary - NGTE & Q E - Belvedere"
617,855,"Archbishop O'Leary - Lorelei - Baturn"
618,855,"Archbishop O'Leary - Lorelei - Baturn"
619,856,"JH Picard - Downtown"
620,856,"JH Picard - Downtown"
621,858,"Amiskwaciy-Kingsway-Stadium"
622,858,"Amiskwaciy-Kingsway-Stadium"
623,859,"Arch Mac - Ross Shep - NGTE"
624,859,"Arch Mac - Ross Shep - NGTE"
625,860,"McNally - Kiniski Gdns-Southwood-MWTC"
626,860,"McNally - Kiniski Gdns-Southwood-MWTC"
627,862,"Ottewell - Austin O'Brien - Burnewood"
628,862,"Ottewell - Austin O'Brien - Burnewood"
629,864,"McNally - Millgate"
630,864,"McNally - Millgate"
631,865,"TD Baker - Mill Woods TC"
632,865,"TD Baker - Mill Woods"
633,866,"Wagner - Mill Woods"
634,866,"Wagner - Mill Woods"
635,867,"Wagner - Mill Woods"
636,867,"Wagner - Mill Woods"
637,869,"Ottewell-AOB - Jackson Hts-Larkspur-Silverberry"
638,869,"Ottewell-AOB - Jackson Hts-Larkspur-Silverberry"
639,870,"J Percy Page - Holy Trinity - Mill Woods"
640,870,"J Percy Page - Holy Trinity - Mill Woods"
641,871,"Mary Butterworth - Lago Lindo - Belle Rive"
642,871,"Mary Butterworth - Lago Lindo - Belle Rive"
643,872,"Wagner - Mill Woods TC"
644,872,"Wagner - Mill Woods"
645,874,"Wagner - Southwood"
646,874,"Wagner - Southwood"
647,875,"Wagner - Millgate TC"
